|[[-1, 'Obama', -1, -1], [6, 'Obama', 'yielding', 'santa'], [11, 'interviewer', 'innate', 'interviewer'], [1, 'wow', 'woozy', 'breath']]| |What do you think of Obama| |Obama more like yielding Obama| |Obama cant believe the innate interviewer| |wow interviewer is really woozy| 0.75
|[[-1, 'Obama', -1, -1], [6, 'like', 'mindless', 'march'], [7, 'like', 'momentous', 'hen'], [9, 'This', 'material', 'jeans']]| |What do you think of Obama| |Obama more like mindless Obama| |cant wait for this momentous like| |This is going to be a material jeans| 0.75
|[[-1, 'Obama', -1, -1], [6, 'like', 'like', 'helmet'], [4, 'like', 'long-term', 'hook'], [7, 'for', 'ludicrous', 'meal']]| |What do you think of Obama| |Obama more like like Obama| |This like will be long-term| |cant wait for this ludicrous like| 0.375
|[[-1, 'Obama', -1, -1], [13, 'Obama', 'military', 'save'], [4, 'This', 'wistful', 'saxophone'], [9, 'to', 'purring', 'scarf']]| |What do you think of Obama| |remember how Obama was military| |This Obama will be wistful| |This is going to be a purring scarf| 0.5
|[[-1, 'Obama', -1, -1], [9, 'is', 'cheerful', 'panty'], [3, 'panther', 'puzzling', 'panther'], [13, 'panther', 'spectacular', 'maria']]| |What do you think of Obama| |This is going to be a cheerful panty| |Man forget about is, panther will be puzzling| |remember how panther was spectacular| 0.625
|[[-1, 'Obama', -1, -1], [7, 'itchy', 'itchy', 'history'], [7, 'for', 'spiritual', 'hook'], [12, 'modern', 'modern', 'toe']]| |What do you think of Obama| |cant wait for this itchy Obama| |cant wait for this spiritual itchy| |for has made a modern impact| 0.25
|[[-1, 'Obama', -1, -1], [4, 'be', 'jazzy', 'hour'], [9, 'is', 'last', 'hubcap'], [1, 'is', 'auspicious', 'pantyhose']]| |What do you think of Obama| |This Obama will be jazzy| |This is going to be a last hubcap| |wow is is really auspicious| 0.375
|[[-1, 'Obama', -1, -1], [1, 'really', 'many', 'bridge'], [6, 'impolite', 'impolite', 'marimba'], [9, 'going', 'lame', 'sand']]| |What do you think of Obama| |wow Obama is really many| |really more like impolite really| |This is going to be a lame sand| 0.25
|[[-1, 'Obama', -1, -1], [9, 'to', 'ceaseless', 'karate'], [11, 'the', 'wiry', 'africa'], [1, 'is', 'beautiful', 'jacket']]| |What do you think of Obama| |This is going to be a ceaseless karate| |to cant believe the wiry africa| |wow the is really beautiful| 0.25
|[[-1, 'Obama', -1, -1], [8, 'I', 'cheerful', 'calendar'], [10, 'wait', 'sore', 'saudi arabia'], [3, 'forget', 'jolly', 'jaguar']]| |What do you think of Obama| |I think calendar is more cheerful than Obama| |cant wait for a sore saudi arabia| |Man forget about wait, jaguar will be jolly| 0.625
|[[-1, 'Obama', -1, -1], [11, 'the', 'yellow', 'aftermath'], [3, 'forget', 'befitting', 'hourglass'], [4, 'will', 'worthless', 'bronze']]| |What do you think of Obama| |Obama cant believe the yellow aftermath| |Man forget about the, hourglass will be befitting| |This forget will be worthless| 0.625
|[[-1, 'Obama', -1, -1], [10, 'horse', 'bashful', 'horse'], [12, 'impact', 'many', 'particle'], [1, 'wow', 'irritating', 'mechanic']]| |What do you think of Obama| |cant wait for a bashful horse| |horse has made a many impact| |wow impact is really irritating| 0.75
|[[-1, 'Obama', -1, -1], [9, 'a', 'industrious', 'can'], [1, 'a', 'magenta', 'title'], [10, 'cant', 'spiffy', 'panties']]| |What do you think of Obama| |This is going to be a industrious can| |wow a is really magenta| |cant wait for a spiffy panties| 0.25
|[[-1, 'Obama', -1, -1], [4, 'will', 'belligerent', 'jury'], [2, 'I', 'messy', 'pantry'], [6, 'like', 'intelligent', 'brass']]| |What do you think of Obama| |This Obama will be belligerent| |I dont agree, but will is messy| |I more like intelligent I| 0.875
|[[-1, 'Obama', -1, -1], [5, 'today', 'mature', 'scraper'], [6, 'more', 'juicy', 'can'], [0, 'I', 'modern', 'house']]| |What do you think of Obama| |Yea Obama is really mature today| |today more like juicy today| |I think that more is very modern| 0.5
